,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,-additional
No.,Player,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,-9999
5,Matt Prater,39,K,17,0,,,6,6,8,7,7,6,12,9,33,28,62,84.8%,23,22,95.7%,79,4842,66,83.5%,61.3,PratMa20
,Team Total,26.1,,17,,,,6,6,8,7,7,6,12,9,33,28,,84.8%,23,22,95.7%,79,4842,66,83.5%,61.3,-9999
,Opp Total,,,17,,,,,,,,,,,,31,26,,83.9%,52,51,98.1%,,,,,,-9999
