,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,,-additional
No.,Player,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,-9999
83,Greg Dortch,25,WR,16,4,29,275,0,49,9.5,17,360,0,40,21.2,917,DortGr01
82,Andre Baccellia,26,WR,5,0,,,0,,,1,22,0,22,22.0,22,BaccAn00
33,Antonio Hamilton,30,CB,14,9,1,0,0,0,0.0,,,0,,,0,HamiAn01
4,Rondale Moore,23,WR,17,8,1,11,0,11,11.0,,,0,,,541,MoorRo02
,Team Total,26.1,,17,,31,286,0,49,9.2,18,382,0,40,21.2,6530,-9999
,Opp Total,,,17,,36,366,0,,10.2,6,133,0,,22.2,,-9999
