No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Kyler Murray,26,QB,8,8,3-5-0,176,268,65.7,1799,10,3.7,5,1.9,88,43.7,48,6.7,6.6,10.2,224.9,89.4,47.2,18,119,6.3,5.87,5.79,2,2,MurrKy00
9,Joshua Dobbs,28,QB,8,8,1-7-0,167,266,62.8,1569,8,3.0,5,1.9,82,42.0,69,5.9,5.7,9.4,196.1,81.2,,17,126,6.0,5.10,4.87,,,DobbJo00
15,Clayton Tune,24,QB,7,1,0-1-0,12,21,57.1,62,0,0.0,2,9.5,3,17.9,14,3.0,-1.3,5.2,8.9,22.6,1.2,7,41,25.0,0.75,-2.46,,,TuneCl00
,Team Total,26.1,,17,,4-13-0,355,555,64.0,3430,18,3.2,12,2.2,173,41.7,69,6.2,5.9,9.7,201.8,82.9,,42,286,7.0,5.27,4.96,2,2,-9999
,Opp Total,,,17,,,347,506,68.6,3846,32,6.3,11,2.2,,,,7.6,7.89,11.1,226.2,102.9,,33,233,6.1,6.7,7.0,,,-9999
